gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
,ExxonMobil,,,3/23/2023,State of Minnesota v. American Petroleum Institute,,,,Negative,,
,ExxonMobil,,,1/8/2024,State of Minnesota v. American Petroleum Institute,,,,Negative,,
,ExxonMobil,,,1/24/2024,State of Minnesota v. American Petroleum Institute,,,,Negative,,
,Shell PLC,,,9/16/2022,Conservation Law Foundation v. Shell Oil Co.,,,,Negative,,
,Shell PLC,,,10/19/2023,Conservation Law Foundation v. Shell Oil Co.,,,,Negative,,
,Danimer Scientific,,,9/27/2024,Perri v. Croskrey,,,,Positive,,
,Danimer Scientific,,,9/27/2024,"Rosencrants v. Danimer Scientific, Inc.",,,,Positive,,
,Schnitzer Steel Industries,,,6/23/2022,"United States v. Schnitzer Steel Industries, Inc.",,,,Negative,,
,AIG,,,10/7/2024,Aloha Petroleum Ltd. v. National Union Fire Insurance Co. of Pittsburgh,,,,Positive,,
,Danone SA,,,1/10/2024,Dorris v. Danone Waters of America,,,,Negative,,
